n_calls,missed_calls,p50_resp_min,p90_resp_min,avg_resp_min,p50_wait_min,p90_wait_min,avg_onscene_min,avg_transport_min,avg_turnaround_min,units,legs,avg_road_factor,avg_hour_mult,avg_zone_mult,segment
14,0,2.990784892762731,3.992691166714621,3.0656415771453815,0.0,0.0,20.94208536853704,5.675941929644033,24.77424415192197,46,644,1.4500000000000162,1.0721273291925508,1.0,2023-01-16_S2
4,0,5.918740696957498,12.262577328701392,7.213074659928743,0.0,0.0,23.451418766808764,20.527268816797406,20.86617317102893,46,186,1.349999999999996,1.0,1.0,2023-01-17_S0
12,0,4.067155149468759,6.998725616620028,4.833349772730508,0.0,0.0,21.0008638912621,8.131075410919943,29.316640254915537,46,529,1.5499999999999878,1.1068998109640795,1.0,2023-01-17_S1
11,0,3.7526764230502185,6.002472908624491,4.725923644482227,0.0,0.0,20.390379496919532,8.713391007188214,24.078190303318173,46,502,1.450000000000008,1.2001992031872408,1.0,2023-01-17_S2
16,0,3.4862621370785174,8.888458963373024,4.601445831114123,0.0,0.0,20.867497693419928,10.609084836384433,24.668658705208628,46,729,1.3500000000000156,1.0456104252400593,1.0,2023-01-18_S0
10,0,2.9418437835718496,3.553351899683756,2.891028428674381,0.0,0.0,17.14699146196554,3.18972271268387,25.626008470282216,46,466,1.5499999999999923,1.1098712446352013,1.0,2023-01-18_S1
3,0,1.9260122419404875,2.6738119339748594,2.1348449915969328,0.0,0.0,15.88590162396873,1.944131915175884,28.351658338230305,46,141,1.4499999999999968,1.0,1.0,2023-01-18_S2
13,0,2.9413823619789308,4.860635541195839,4.054689783930616,0.0,0.0,18.098721754842895,5.270212010471383,22.51215533141724,46,605,1.3500000000000143,1.0392561983471162,1.0,2023-01-19_S0
10,0,3.9253694692594796,12.139477255222227,5.750690939858769,0.0,0.0,20.788909567635855,11.804950222845708,21.95602203593845,46,468,1.5499999999999923,1.0947649572649574,1.0,2023-01-19_S1
33,0,3.371628915868326,5.754010620819724,4.041035824212418,0.0,0.0,20.52845009490189,8.839615983772656,25.22702538943315,46,1434,1.450000000000029,1.127336122733614,1.0,2023-01-19_S2
17,0,2.8790064894944427,3.9451347577560787,3.2754431450893664,0.0,0.0,22.187164040099262,5.406270810651023,29.83815150781766,46,754,1.3500000000000159,1.0031167108753287,1.0,2023-01-20_S0
12,0,3.2543399435210363,4.050542977184051,3.0958868631055196,0.0,0.0,24.45262119803728,4.44862338307633,26.245504652898408,46,554,1.5499999999999863,1.104061371841164,1.0,2023-01-20_S1
20,0,3.243889424343609,4.7259402240913175,3.4108094930684087,0.0,0.0,20.16418659886174,5.454888690092893,25.439291082082143,46,894,1.4500000000000244,1.1785234899328905,1.0,2023-01-20_S2
15,0,2.994215427721195,7.463784423740856,4.700410307663329,0.0,0.0,21.593086050506233,10.377179719818088,20.76377902739851,46,691,1.3500000000000154,1.0526049204052217,1.0,2023-01-21_S0
8,0,3.7240016618738023,7.805050486059585,4.82990156668728,0.0,0.0,20.663325013887565,11.633144271881346,27.186961926713245,46,372,1.5500000000000018,1.069354838709686,1.0,2023-01-21_S1
20,0,2.9400811563831315,7.355480538186978,3.9066591819760865,0.0,0.0,18.407736111051072,8.478969363903785,23.149051984601023,46,913,1.4500000000000248,1.1433734939758975,1.0,2023-01-21_S2
13,0,3.0176509604880355,6.897878803837446,4.889434553297403,0.0,0.0,19.032032922440866,7.654632925323113,24.253621915330054,46,608,1.3500000000000143,1.0917763157894882,1.0,2023-01-22_S0
16,0,3.099063538857239,9.04284368103793,4.255981121721177,0.0,0.0,21.43434521140263,7.208382117501351,24.148469802066153,46,730,1.5499999999999787,1.0873972602739774,1.0,2023-01-22_S1
8,0,2.701629098298884,8.961096458341315,5.09499196529711,0.0,0.0,25.710378774099134,10.960190207886018,28.60584436128104,46,362,1.4499999999999933,1.0972375690607719,1.0,2023-01-22_S2
23,0,3.3070936873136607,5.284356404135253,3.6673983707126894,0.0,0.0,18.363742238754728,4.439772561784804,23.983634804709094,46,1049,1.3499999999999863,1.0376072449952394,1.0,2023-01-23_S0
4,0,12.614854300772823,14.919358432678226,10.898754477886804,0.0,0.0,16.178945046528373,19.266722780943816,21.619417794448644,46,187,1.5500000000000054,1.1483957219251386,1.0,2023-01-23_S1
10,0,4.415990248070636,11.897399721567123,6.541866654642004,0.0,0.0,16.76262917334707,14.397712709134103,26.373838133612388,46,458,1.4500000000000042,1.0153930131004365,1.0,2023-01-23_S2
12,0,3.185462961949527,4.490339464213808,4.837171269817458,0.0,0.0,22.5680353299728,7.188742420434328,23.509362211851656,46,544,1.3500000000000134,1.0174632352941215,1.0,2023-01-24_S0
19,0,3.314062369738032,7.008619099594514,4.6209167267266515,0.0,0.0,19.55593862090085,9.796302328724943,22.021608733191485,46,860,1.5499999999999752,1.0895348837209278,1.0,2023-01-24_S1
32,0,3.382939801266547,4.9061132094667395,4.4531843440253756,0.0,0.0,20.601436453392573,8.484824687086796,27.794538231302468,46,1401,1.450000000000032,1.1082798001427496,1.0,2023-01-24_S2
11,0,3.478666472086518,5.153055690580647,3.7928049574560636,0.0,0.0,19.579529925261884,6.72428117672861,27.676003127147222,46,509,1.3500000000000127,1.0328094302554063,1.0,2023-01-25_S0
14,0,3.1340982631083287,5.737096764333415,4.053723252251445,0.0,0.0,17.980249829265023,10.058040972672318,28.430350315198588,46,642,1.549999999999982,1.1029595015576323,1.0,2023-01-25_S1
25,0,3.3603100353160746,9.250708136382102,4.635067869881726,0.0,0.0,18.27444098840197,13.041176065660911,21.0833902272385,46,1076,1.450000000000028,1.1579460966542718,1.0,2023-01-25_S2
9,0,2.9101489475558138,4.5130158721331135,3.4062299189951415,0.0,0.0,24.86883460032064,8.469852055373375,29.712168958721666,46,410,1.3500000000000103,1.0,1.0,2023-01-26_S0
