incidentID,description,unitsString,longitude,latitude,inside_lemsa_raw,inside_lemsa_buffered,dist_m_to_boundary,google_maps
d3dae9e3-2084-4b8b-a816-89802d7072b8,MEDICAL EMERGENCY,AMB 09-1,-76.1727643,40.2641813,False,False,28286.747082646736,"https://maps.google.com/?q=40.2641813,-76.1727643"
bc738b61-ee96-4aba-be91-c6ec4a228f82,MEDICAL EMERGENCY,AMB 77-6,-76.4982648,40.0300303,False,False,3912.674758520153,"https://maps.google.com/?q=40.0300303,-76.4982648"
ba97993e-f944-44f4-b512-164fbcb3d82b,MEDICAL EMERGENCY,AMB 01-1,-76.1703897,40.165866,False,False,15810.894686808537,"https://maps.google.com/?q=40.165866,-76.1703897"
2e493daf-4884-48cc-918e-f4b297ddd080,MEDICAL EMERGENCY,Units Assigned,-76.7336521,39.9512496,False,False,25682.27299149456,"https://maps.google.com/?q=39.9512496,-76.7336521"
dfb413b6-9b28-4d79-ae22-229905833283,MEDICAL EMERGENCY,MEDIC 85-1,-76.30559629999999,40.1105855,False,False,5303.48079687136,"https://maps.google.com/?q=40.1105855,-76.30559629999999"
63acc71b-a697-4543-92f2-39c47a35143d,MEDICAL EMERGENCY,MEDIC 06-3,-76.427571,40.048637,False,False,2285.8264250800876,"https://maps.google.com/?q=40.048637,-76.427571"
06d567b2-da8d-4c5f-84ed-5f295d59b89b,MEDICAL EMERGENCY,MEDIC 86-2,-76.55005290000001,40.05637,False,False,10776.85269633531,"https://maps.google.com/?q=40.05637,-76.55005290000001"
e7b24e0f-e382-41b7-b27c-062934c7ad58,MEDICAL EMERGENCY,MEDIC 85-11,-76.3136706,40.1333708,False,False,8628.226863255608,"https://maps.google.com/?q=40.1333708,-76.3136706"
f0fc89bb-997b-40e7-b8a5-142b6620143c,VEHICLE ACCIDENT-ENTRAPMENT,PENDING,-76.07497599999999,40.235646,False,False,30063.753800458402,"https://maps.google.com/?q=40.235646,-76.07497599999999"
342d8920-3137-491c-a1d8-3e7ed9173efe,MEDICAL EMERGENCY,AMB 86-7,-76.368489,40.2048005,False,False,19969.467172252425,"https://maps.google.com/?q=40.2048005,-76.368489"
