n_calls,missed_calls,p50_resp_min,p90_resp_min,avg_resp_min,p50_wait_min,p90_wait_min,avg_onscene_min,avg_transport_min,avg_turnaround_min,units,segment
14,0,2.8055098103309914,3.771130876722108,2.8821361231630367,0.0,0.0,20.03545816754504,4.725234260665634,21.4500654976984,46,2023-01-16_S2
4,0,5.967888744575095,13.151537755309258,7.559074030936008,0.0,0.0,19.37150295918552,20.34272091046391,29.544900348791618,46,2023-01-17_S0
12,0,3.5166803779520777,6.040752516650681,4.218071898486917,0.0,0.0,18.308760957384276,6.49141271222025,26.05394900314001,46,2023-01-17_S1
11,0,3.3927843812721643,5.13452189105217,4.171599896323215,0.0,0.0,17.230937604131828,6.574788289234241,28.174140744965253,46,2023-01-17_S2
16,0,3.3580057227113667,9.216477402459006,4.573336810500812,0.0,0.0,19.33521143541237,10.59871057276758,25.18284633555945,46,2023-01-18_S0
10,0,2.613959659942772,3.2186450450495636,2.6468978808482495,0.0,0.0,19.99672367529923,2.51517766388602,26.243705660925563,46,2023-01-18_S1
3,0,1.8948674793185865,2.694145857613252,2.1341571840472238,0.0,0.0,20.88655232689758,1.8656720393372854,19.395227935255367,46,2023-01-18_S2
13,0,2.871031328467951,4.978532544443468,4.151543972063592,0.0,0.0,21.97869349370868,5.303928860537969,22.980740338739416,46,2023-01-19_S0
10,0,3.3884902980049874,11.402481241707923,5.19949578066244,0.0,0.0,22.533272587204173,9.549673713135927,23.579924088456334,46,2023-01-19_S1
33,0,2.9666396485572792,5.115133357411741,3.6668906309000917,0.0,0.0,22.556810294339034,7.260360978004085,25.958631144627937,46,2023-01-19_S2
17,0,2.8844641676144502,4.042494459716007,3.3371192583301834,0.0,0.0,17.141531754777674,5.408524228880589,24.122515839758584,46,2023-01-20_S0
12,0,2.871031328467951,3.7784471727786264,2.796605330720549,0.0,0.0,16.26788941255673,3.4226867745635725,23.128647425564115,46,2023-01-20_S1
20,0,2.8598624580150056,4.170977875641023,3.0550715631996885,0.0,0.0,20.387994588248933,4.345128562161685,25.181069746624903,46,2023-01-20_S2
15,0,3.0050319328720905,7.110062515927141,4.574071752776831,0.0,0.0,20.35103495072227,9.84307128827196,24.30136103639342,46,2023-01-21_S0
8,0,3.4084751942479112,6.915084632871048,4.332025487744709,0.0,0.0,19.765127169690434,9.357617623863089,23.729992700313307,46,2023-01-21_S1
20,0,2.8258571300180337,6.2031383857141424,3.4917961556699018,0.0,0.0,17.169478434525153,6.736474302250635,24.418115603230248,46,2023-01-21_S2
13,0,3.0496038090465305,6.209734995596017,4.788531931875908,0.0,0.0,21.914228207149485,7.165526044511025,25.123913163718235,46,2023-01-22_S0
16,0,2.8724634218253766,7.9830507233491925,3.8296061645933106,0.0,0.0,21.279289319330587,5.874111317714533,27.50114864846837,46,2023-01-22_S1
8,0,2.731468787566763,7.913608589385241,4.61768567529226,0.0,0.0,24.024951145977816,8.76417291280834,30.596006243067507,46,2023-01-22_S2
23,0,3.4430997916517425,5.220752120443325,3.7010091398952243,0.0,0.0,22.579724279876736,4.308961212785806,24.9849616261775,46,2023-01-23_S0
4,0,10.279443140027528,11.481198149630998,8.820311111971712,0.0,0.0,14.29319157419592,15.066724025947696,22.028549094333922,46,2023-01-23_S1
10,0,4.34253556041689,11.573230130373231,6.398044831593203,0.0,0.0,18.6127305361532,12.916203360238265,27.676976171192784,46,2023-01-23_S2
12,0,3.238038989278789,4.519654718462806,4.810012484541245,0.0,0.0,21.232611172317398,6.541870155241142,29.419464994722173,46,2023-01-24_S0
19,0,3.040302942618676,6.014374047733439,4.093727443591291,0.0,0.0,23.661346710153747,7.955303683310732,26.199499679291087,46,2023-01-24_S1
32,0,3.0728158825413794,4.308340831208785,4.022923403590438,0.0,0.0,22.69627602622981,6.937426867251972,21.604733135035385,46,2023-01-24_S2
11,0,3.5652623940484856,4.727595939921004,3.814690031469344,0.0,0.0,19.906542667690726,6.433183353317986,26.896763137567483,46,2023-01-25_S0
14,0,2.9474462884359056,5.050959363346581,3.6028623991504567,0.0,0.0,16.390481181122308,8.046205984918718,22.39868362529874,46,2023-01-25_S1
25,0,3.1426983613900576,7.9126328861635296,4.086586942606716,0.0,0.0,18.700560261469636,10.19090403203086,24.91518983243649,46,2023-01-25_S2
9,0,2.9594359312380396,4.684173114090165,3.481802520687388,0.0,0.0,21.045094057430873,8.193809621527318,26.10868662350861,46,2023-01-26_S0
18,0,3.8046853043394435,11.305857926548846,5.147952730377346,0.0,0.0,21.375815305219476,9.485333456777997,30.017190451841202,46,2023-01-26_S1
26,0,4.517852434251786,14.627551070207206,6.8845042360613515,0.0,0.0,20.249072668343185,15.129630015062588,25.110796835546033,46,2023-01-26_S2
12,0,5.632205665580769,10.790019027857694,6.068313581937687,0.0,0.0,18.82708776165957,13.263979399660782,30.25956476964332,46,2023-01-27_S0
14,0,3.5427287492838158,9.982834116895617,5.146523580020824,0.0,0.0,21.35111077597998,11.857402666050353,26.632878684230914,46,2023-01-27_S1
31,0,2.984477997614278,8.068302521393939,4.260295017480098,0.0,0.0,20.51111098535201,8.385789278395725,23.964137873027564,46,2023-01-27_S2
15,0,2.908865706783026,3.9073291244405497,3.17909648621974,0.0,0.0,18.68720399725608,5.934360928394868,24.638484453518927,46,2023-01-28_S0
22,0,2.9152336298529953,5.506173532175893,3.2666347343039264,0.0,0.0,20.01530260971829,5.472339617870561,26.482161106025682,46,2023-01-28_S1
15,0,3.3933149762464874,5.010597786303702,3.5084481203682807,0.0,0.0,19.65674495603198,6.312254990727298,25.896387350823634,46,2023-01-28_S2
22,0,3.450817797458589,8.044783972044284,4.822475125903041,0.0,0.0,18.076799613898125,9.238795086940346,24.306561797465974,46,2023-01-29_S0
15,0,2.8934545561430856,5.685069338407977,3.4983221072535478,0.0,0.0,21.75969502750315,8.282065294931064,25.654235050670778,46,2023-01-29_S1
5,0,3.2334234303462854,8.55826332469098,4.889672080829046,0.0,0.0,19.815963703112025,10.19574512076646,15.236845832179403,46,2023-01-29_S2
