station_number,page_x,page_y,lon,lat,label,dx_m,dy_m,resid_m,inlier
56-1,1638.95703125,911.0181884765625,-76.27491224541403,39.98543448206992,AMB 56-1,405.7988448976808,-559.5493623126549,691.2077772889935,False
56-4,1915.67431640625,1741.1902465820312,-76.23041158959896,39.881874598057095,AMB 56-4,48.40899743879075,-69.58045401729052,84.76361609960449,True
56-5,2374.5494384765625,1647.5888061523438,-76.1579787761068,39.89101937719157,AMB 56-5,-16.60617209931281,43.45690546890407,46.52168940102304,True
56-6,2180.8714599609375,873.817626953125,-76.18568937425025,39.983812206707675,AMB 56-6,-5.570733103148705,-13.374063401495164,14.487879043315113,True
56-9,1165.9217529296875,1248.9430541992188,-76.34425561843241,39.94105216296149,AMB 56-9,-48.87261996691996,22.587837455430645,53.83997941440858,True
6-1,1629.357177734375,447.0914306640625,-76.25433641842815,40.03576920430254,AMB 06-1,-1346.5426320407048,-29.12074787063193,1346.8574823861854,False
6-2,1087.6825256347656,712.2952880859375,-76.35648418774129,40.00252495941176,AMB 06-2,106.52265128698072,290.686121547738,309.58923834279835,True
6-3,923.5241394042969,418.7711181640625,-76.37979500308371,40.04033860807688,AMB 06-3,-0.5589278047566665,-0.38398499378774886,0.6781185489162525,True
6-7,1404.7193603515625,349.1700439453125,-76.30438198270724,40.04714417759513,AMB 06-7,-30.417788474680215,50.75481437290952,59.171724985155635,True
6-8,1256.640869140625,551.012939453125,-76.32781914541216,40.02744881187077,AMB 06-8,-52.08720333383793,-389.8339991749656,393.29839011097874,False
6-9,1108.0823974609375,215.00816345214844,-76.3511851607547,40.06538678948616,AMB 06-9,64.3410184460545,-137.74245996863684,152.02878652704905,True
