run_id,calls,units,segments,w_avg_p50_resp_min,w_avg_p90_resp_min,w_avg_avg_resp_min
20251106T221547Z,63185.0,49.0,2713.0,3.314150275759548,7.085663374329017,4.198565641892728
20251106T224239Z,63185.0,49.0,2713.0,3.3138043314146657,7.104039193473009,4.20481325791389
20251106T224940Z,63185.0,49.0,2713.0,3.3138043314146657,7.104039193473009,4.20481325791389
20251106T225223Z,63185.0,49.0,2713.0,3.3138043314146657,7.104039193473009,4.20481325791389
20251106T225908Z,63185.0,49.0,2713.0,3.3138043314146657,7.104039193473009,4.20481325791389
#added traffic heuristics,,,,,,
20251106T230649Z,63185.0,49.0,2713.0,3.5796187749996053,7.86805684254515,4.579563635894426
20251106T231847Z,63185.0,49.0,2713.0,3.5796187749996053,7.86805684254515,4.579563635894426
20251110T203812Z,63185.0,49.0,2713.0,3.3161575857636105,6.6739650116935,4.132390314110484
20251110T210735Z,63185.0,49.0,2713.0,3.6044300889061054,7.91222950037211,4.616136968428805
20251110T210748Z,63185.0,49.0,2713.0,3.6044300889061054,7.91222950037211,4.616136968428805
nearest_eta_20251110T212852Z,63185.0,49.0,2713.0,3.6044300889061054,7.91222950037211,4.616136968428805
type_pref_als_20251110T212857Z,63185.0,49.0,2713.0,3.605964921934279,7.906989185752225,4.613855927458559
least_busy_20251110T212903Z,63185.0,49.0,2713.0,3.6043914377370743,7.916407026486691,4.615923982880519
20251110T213017Z,63185.0,49.0,2713.0,3.6044300889061054,7.91222950037211,4.616136968428805
20251110T213535Z,63185.0,49.0,2713.0,3.5796187749996053,7.86805684254515,4.579563635894426
20251110T220434Z,63185.0,49.0,2713.0,3.5796187749996053,7.86805684254515,4.579563635894426
20251112T231602Z,63185.0,49.0,2713.0,3.5796187749996053,7.86805684254515,4.579563635894426
20251113T042120Z,63185.0,49.0,2713.0,2.729232712252828,4.902804366761658,3.258435508642986
20251113T042801Z,63185.0,49.0,2713.0,2.8363576886248514,5.242957281419607,3.418833992639378
20251113T043601Z,63185.0,49.0,2713.0,2.8363576886248514,5.242957281419607,3.418833992639378
20251113T043629Z,63185.0,49.0,2713.0,2.8363576886248514,5.242957281419607,3.418833992639378
20251113T044210Z,63185.0,49.0,2713.0,2.8363576886248514,5.242957281419607,3.418833992639378
20251113T044235Z,63185.0,49.0,2713.0,2.8363576886248514,5.242957281419607,3.418833992639378
20251113T044856Z,63185.0,49.0,2713.0,3.424972784323779,6.959923562434208,4.286390906505115
20251113T045511Z,63185.0,49.0,2713.0,3.4055453317553166,6.85559287583212,4.233087793986512
20251113T045715Z,63185.0,49.0,2713.0,3.405152263312475,6.855919470333404,4.233077859838758
20251113T045937Z,63185.0,49.0,2713.0,3.405348842026626,6.856058748515133,4.233068098530195
20251113T050043Z,63185.0,49.0,2713.0,3.405145677455455,6.855219620371448,4.233018606783831
20251125T202852Z,63185.0,49.0,2713.0,3.3595458845214083,6.73331568220256,4.17521521819268
20251125T204619Z,63185.0,49.0,2713.0,2.729232712252828,4.902804366761658,3.258435508642986
20251125T204702Z,63185.0,49.0,2713.0,2.729232712252828,4.902804366761658,3.258435508642986
20251125T204729Z,63185.0,49.0,2713.0,2.729232712252828,4.902804366761658,3.258435508642986
20251125T205944Z,63185.0,49.0,2713.0,3.3595458845214083,6.73331568220256,4.17521521819268
20251125T210304Z,63185.0,49.0,2713.0,3.3595458845214083,6.73331568220256,4.17521521819268
20251125T210442Z,63185.0,49.0,2713.0,3.3595458845214083,6.73331568220256,4.17521521819268
20251125T210523Z,63185.0,49.0,2713.0,3.3849031629766753,6.816317482397871,4.213319127568969
20251125T211141Z,63185.0,49.0,2713.0,3.3849031629766753,6.816317482397871,4.213319127568969
20251125T211710Z,63185.0,49.0,2713.0,3.3849031629766753,6.816317482397871,4.213319179088028
20251125T211846Z,63185.0,49.0,2713.0,3.3849031629766753,6.816317482397871,4.213319179088028
20251125T213217Z,63185.0,49.0,2713.0,3.3849031629766753,6.816613902461007,4.213362274111824
20251125T213711Z,63185.0,49.0,2713.0,3.6416038770669017,8.074225687672632,4.666165569615705
20251125T215348Z,63185.0,49.0,2713.0,3.6416038770669017,8.074225687672632,4.666165569615705
20251125T215457Z,63185.0,49.0,2713.0,3.3595458845214083,6.73331568220256,4.17521521819268
20251125T215731Z,63185.0,49.0,2713.0,3.3595458845214083,6.73331568220256,4.17521521819268
20251125T225427Z,63185.0,33.0,2713.0,3.3774844702231923,6.7756566838285055,4.197181649259135
20251125T225448Z,63185.0,33.0,2713.0,3.403528006480082,6.91102334388469,4.249809146045291
20251125T225544Z,63185.0,33.0,2713.0,4.330412816314596,9.030576372599365,5.270628099770584
20251125T233954Z,63185.0,30.0,2713.0,3.3979266694260746,6.905553533913235,4.235374080243499
20251125T234620Z,63185.0,30.0,2713.0,3.385054694926383,6.88287537325438,4.223931346977801
20251125T234649Z,63185.0,30.0,2713.0,3.4131755363356935,7.008316987148151,4.277064095059787
20251125T234736Z,63185.0,30.0,2713.0,3.3979266694260746,6.905553533913235,4.235374080243499
20251125T235633Z,63185.0,30.0,2713.0,3.390044375011641,6.923347775020304,4.2364801610123175
20251126T210208Z,63185.0,30.0,2713.0,3.390044375011641,6.923347775020304,4.2364801610123175
20251126T211722Z,63185.0,30.0,2713.0,3.723462221881946,6.932125390219964,4.54557008476206
20251126T212153Z,63185.0,30.0,2713.0,3.567825400125718,8.104248636804103,4.701213201285463
20251126T212507Z,63185.0,30.0,2713.0,3.567825400125718,8.104248636804103,4.701213201285463
20251126T212722Z,63185.0,30.0,2713.0,3.5628233688174755,8.085134054644152,4.692874615514438
20251126T213019Z,63185.0,30.0,2713.0,3.385085237376109,6.884746337553862,4.224346295843872
20251126T214428Z,63185.0,30.0,2713.0,6.613712347407404,10.9518814988936,6.8943446265628765
20251126T214648Z,63185.0,30.0,2713.0,6.999520569629137,10.835437849148423,7.257678996731507
20251126T214851Z,63185.0,30.0,2713.0,3.4131755363356935,7.008316987148151,4.277064095059787
20251126T221134Z,63185.0,30.0,2713.0,3.3275233775040487,6.337714886722344,3.9416018534026738
20251126T221821Z,63185.0,30.0,2713.0,6.999577572930341,10.835437849148423,7.257661360964763
20251126T222744Z,63185.0,30.0,2713.0,3.3633708535544993,7.547523127123292,4.38483945827059
20251126T224431Z,63185.0,30.0,2713.0,3.3633708535544993,7.547523127123292,4.38483945827059
20251126T224711Z,63185.0,30.0,2713.0,3.3633708535544993,7.547523127123292,4.38483945827059
20251126T224841Z,63185.0,30.0,2713.0,3.3633708535544993,7.547523127123292,4.38483945827059
20251126T225047Z,63185.0,30.0,2713.0,2.9284404663385906,4.0367713705507215,3.05216049998869
20251126T225143Z,63185.0,30.0,2713.0,2.9284404663385906,4.0367713705507215,3.05216049998869
20251126T231944Z,63185.0,30.0,2713.0,3.3634071713803286,7.579955522356944,4.392548898823302
20251127T233534Z,63185.0,30.0,2713.0,3.4151834039719335,7.1358807245596525,4.307621527100814
20251127T234833Z,63185.0,30.0,2713.0,2.980476674412693,4.049986139287671,3.111276287322219
20251127T235531Z,63185.0,30.0,2713.0,3.4151834039719335,7.1358807245596525,4.307621527100814
20251128T000436Z,63185.0,30.0,2713.0,4.372984223186775,9.948127884424826,5.585405349093376
20251128T001809Z,63185.0,30.0,2713.0,4.327414953383848,8.812123616659772,5.2197954042783
20251128T001911Z,63185.0,30.0,2713.0,4.364858305409886,9.109456594386462,5.308018359296764
20251128T002421Z,63185.0,30.0,2713.0,4.338631330111596,9.808428120092966,5.612670881297373
20251128T002455Z,63185.0,30.0,2713.0,4.324280466355824,8.795270868846734,5.2033720558930865
20251128T003428Z,63185.0,30.0,2713.0,4.372984223186775,9.948127884424826,5.585405349093376
20251129T165110Z,63185.0,30.0,2713.0,4.372984223186775,9.948127884424826,5.585405349093376
20251129T202756Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T203831Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T204430Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T205027Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T205625Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T210222Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T210819Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
