segment,hour,n,mean,p50,p90
2023-01-17_S0,0,3,21.292444281437604,19.424091542515797,25.758785706664646
2023-01-20_S0,0,4,25.470943827158123,25.5617953761817,30.778782826014744
2023-01-21_S0,0,1,12.407280101445865,12.407280101445865,12.407280101445865
2023-01-22_S0,0,1,14.464468283066946,14.464468283066946,14.464468283066946
2023-01-23_S0,0,4,30.96432242043078,31.278473172280847,35.264258589493146
2023-01-24_S0,0,4,31.95219552980474,33.57089168004154,38.55218480923469
2023-01-25_S0,0,2,21.33276792676444,21.33276792676444,26.277302424845637
2023-01-26_S0,0,5,22.536177495113982,19.524773580505524,31.74633979570814
2023-01-27_S0,0,3,25.447733498027322,23.98292063056379,28.385237592103465
2023-01-28_S0,0,2,18.80063620317147,18.80063620317147,24.24422574978462
2023-01-29_S0,0,6,22.18375075043544,17.879656644496244,33.66697631618877
2023-01-30_S0,0,2,42.11490774915073,42.11490774915073,53.69129863886996
2023-02-01_S0,0,4,21.749318553218778,18.677710558248304,28.65280763425712
2023-02-02_S0,0,4,29.75637950100365,30.5135407464893,34.87460813466077
2023-02-03_S0,0,2,26.71703483647976,26.71703483647976,28.36300116864268
2023-02-04_S0,0,4,30.273104705038115,30.545587236442795,37.15340433404291
2023-02-06_S0,0,6,17.59476438235988,16.09313570731175,23.981890799052863
2023-02-08_S0,0,3,37.605122982478214,28.313408966142397,55.895942157401734
2023-02-09_S0,0,1,22.968431494244207,22.968431494244207,22.968431494244207
2023-02-10_S0,0,3,22.424506744336128,23.42658944330377,27.86828170520685
2023-02-11_S0,0,5,21.929464464783152,21.209623802006355,29.5377224580596
2023-02-17_S0,0,1,27.042433054463903,27.042433054463903,27.042433054463903
2023-02-20_S0,0,2,28.873735725821327,28.873735725821327,37.024975899722186
2023-02-21_S0,0,3,17.22862624415877,17.837177404130884,19.104773055211204
2023-02-22_S0,0,3,21.12336754912587,20.66127944277302,24.04722651542312
2023-02-24_S0,0,3,19.777082759500377,19.506139008873113,22.49771680066117
2023-02-26_S0,0,7,22.185905025123443,18.050376174465374,32.27763674342114
2023-02-28_S0,0,2,27.229544232127743,27.229544232127743,33.78495604523716
2023-03-02_S0,0,5,32.745461227462435,27.330313809277655,49.22395893013482
2023-03-03_S0,0,1,25.379761194611646,25.379761194611646,25.379761194611646
2023-03-07_S0,0,4,17.680556805985933,13.811953171641093,24.996137027292775
2023-03-08_S0,0,2,15.706638962692544,15.706638962692544,17.18695546720918
2023-03-09_S0,0,2,25.90102746542879,25.90102746542879,28.745141925186072
2023-03-13_S0,0,1,43.46755062418511,43.46755062418511,43.46755062418511
2023-03-14_S0,0,5,27.043285384184742,25.894859949641173,40.378633026820246
2023-03-15_S0,0,3,31.806929376300157,23.449350801060927,51.69892469653934
2023-03-16_S0,0,2,23.36832206936768,23.36832206936768,30.343215329645336
2023-03-18_S0,0,2,16.744944572640257,16.744944572640257,19.99765199952234
2023-03-19_S0,0,2,16.311257581431004,16.311257581431004,16.798053779495962
2023-03-20_S0,0,5,19.142367896829136,20.25527599712875,21.685022057609466
2023-03-21_S0,0,2,21.25145268899294,21.25145268899294,25.140809280622403
2023-03-22_S0,0,4,25.21752048360375,25.823245144009103,32.92734875726621
2023-03-23_S0,0,2,23.84202455223584,23.84202455223584,24.152301998842546
2023-03-25_S0,0,2,20.621879890531968,20.621879890531968,21.594750446726156
2023-03-27_S0,0,1,24.216350984256692,24.216350984256692,24.216350984256692
2023-03-28_S0,0,2,22.59323156242825,22.59323156242825,27.079293489295548
2023-04-01_S0,0,3,31.925649450706246,34.11197604360642,38.04688746918015
2023-04-04_S0,0,1,33.60540743841817,33.60540743841817,33.60540743841817
2023-04-08_S0,0,2,17.168621909724664,17.168621909724664,22.111861758273335
2023-04-11_S0,0,2,24.08835902175244,24.08835902175244,33.839622821066115
2023-04-12_S0,0,6,33.28324508441559,30.4570428136264,52.427737747585994
2023-04-13_S0,0,3,24.85869477653253,26.900909339982412,29.328033101741216
2023-04-14_S0,0,3,28.869056541642106,33.112666034265686,33.118955837885345
2023-04-15_S0,0,2,21.670851235278445,21.670851235278445,23.303048868868718
2023-04-18_S0,0,2,19.74225165730971,19.74225165730971,22.97416977286519
2023-04-19_S0,0,2,27.738571744644574,27.738571744644574,29.074131334522114
2023-04-20_S0,0,1,18.862931153751486,18.862931153751486,18.862931153751486
2023-04-26_S0,0,3,18.78553346926431,19.47820480474789,22.606804126222
2023-04-27_S0,0,3,32.229713096969476,35.199680652359575,43.05317785302029
2023-04-28_S0,0,4,20.860977128026907,17.677851411499553,31.101169447321496
2023-04-30_S0,0,7,20.14116107951465,23.10042499931263,25.878572239462372
2023-05-01_S0,0,2,23.83387631296141,23.83387631296141,30.397181532318967
2023-05-04_S0,0,5,33.96869562141742,26.563391847199853,55.75642033198559
2023-05-08_S0,0,3,17.512456722767165,15.319485728301455,22.268215883420453
2023-05-09_S0,0,2,16.838532866518868,16.838532866518868,19.11296250645701
2023-05-10_S0,0,3,21.721769599649388,25.72140790054342,27.520224832700084
2023-05-11_S0,0,4,32.03889086833115,30.403809743192966,35.95432477515887
2023-05-12_S0,0,1,16.779327647085424,16.779327647085424,16.779327647085424
2023-05-13_S0,0,4,29.935798845001468,29.62262142852419,39.7228709015986
2023-05-14_S0,0,4,21.445501435206662,17.456187730374815,32.701266029616754
2023-05-18_S0,0,1,43.74647452167937,43.74647452167937,43.74647452167937
2023-05-26_S0,0,3,24.07008312163519,25.478829427146337,33.65653550676373
2023-05-27_S0,0,2,25.464504494424304,25.464504494424304,28.643725806853784
2023-05-29_S0,0,1,19.55622038025159,19.55622038025159,19.55622038025159
2023-05-30_S0,0,7,38.654043973256265,37.333984337540016,58.931713885935025
2023-06-01_S0,0,1,23.479249416923643,23.479249416923643,23.479249416923643
2023-06-05_S0,0,1,20.550397376956543,20.550397376956543,20.550397376956543
2023-06-17_S0,0,4,17.669580545192833,19.64216677558802,20.26427047219567
2023-06-19_S0,0,1,25.633880987971377,25.633880987971377,25.633880987971377
2023-06-22_S0,0,4,21.160181693787216,18.595016140482322,29.46604325650113
2023-06-26_S0,0,5,29.620519280524228,25.112766375924537,41.606844184161446
2023-07-02_S0,0,1,16.05774485226675,16.05774485226675,16.05774485226675
2023-07-03_S0,0,4,28.444767825777067,28.311437827449417,35.48765787771965
2023-07-04_S0,0,6,24.392814402664147,20.053184792942076,34.86305338129263
2023-07-05_S0,0,3,18.31611202706585,17.919469907139426,18.955307029773987
2023-07-07_S0,0,2,30.598310561271674,30.598310561271674,35.11966947748215
2023-07-09_S0,0,2,29.21099798553332,29.21099798553332,38.12847305489396
2023-07-12_S0,0,4,24.000730241828574,26.76127402460214,30.539194722177186
2023-07-13_S0,0,1,30.803534200224966,30.803534200224966,30.803534200224966
2023-07-16_S0,0,2,16.43683206935149,16.43683206935149,17.876978662887858
2023-07-17_S0,0,3,18.132974965431984,19.192371694005434,22.162729774119253
2023-07-19_S0,0,1,24.24632128443282,24.24632128443282,24.24632128443282
2023-07-23_S0,0,3,19.898591984600717,19.285161717496344,20.96214536333971
2023-07-24_S0,0,1,42.63576687409513,42.63576687409513,42.63576687409513
2023-07-31_S0,0,2,23.36964934023578,23.36964934023578,27.00909535532402
2023-08-03_S0,0,1,23.729811347311866,23.729811347311866,23.729811347311866
2023-08-05_S0,0,2,28.744311922822845,28.744311922822845,37.173626359007365
