n_calls,missed_calls,p50_resp_min,p90_resp_min,avg_resp_min,p50_wait_min,p90_wait_min,avg_onscene_min,avg_transport_min,avg_turnaround_min,units,legs,avg_road_factor,avg_hour_mult,avg_zone_mult,segment
14,0,2.9530457334261184,4.141287779640194,3.052121412462499,0.0,0.0,18.684761342361416,5.884809742299461,26.085337262235765,46,646,1.4500000000000162,1.0721362229102211,1.0,2023-01-16_S2
4,0,5.815987197290189,12.829276179085396,7.3829625892795985,0.0,0.0,18.154459291168237,20.77519316670854,25.465873295841728,46,186,1.349999999999996,1.0,1.0,2023-01-17_S0
12,0,4.056185136890925,6.8684395517436645,4.786071154418369,0.0,0.0,18.133180738029406,8.013373404318063,24.11024811784148,46,529,1.5499999999999878,1.1070888468809035,1.0,2023-01-17_S1
11,0,3.765813844592374,5.7897036582701595,4.655291806015503,0.0,0.0,19.59157750055025,8.207218273610712,25.631980133960408,46,502,1.450000000000008,1.1999003984063643,1.0,2023-01-17_S2
16,0,3.44090686536731,8.803645221170646,4.521154440943983,0.0,0.0,17.576702839514418,10.511666349393897,22.641997651996398,46,731,1.3500000000000156,1.0454856361149154,1.0,2023-01-18_S0
10,0,2.892560813720329,3.715722071749178,2.8716097845800643,0.0,0.0,15.62859174818639,3.2285033066177333,21.400194863248302,46,468,1.5499999999999923,1.1098290598290677,1.0,2023-01-18_S1
3,0,1.8995122743505797,2.702714927689843,2.139744727371457,0.0,0.0,17.570919224771917,1.96935179342719,19.68623190094281,46,141,1.4499999999999968,1.0,1.0,2023-01-18_S2
13,0,2.9064084849882237,4.913262897167539,4.1014713011006245,0.0,0.0,19.93125081272342,5.3675408132955145,25.026785087059746,46,603,1.3500000000000143,1.0392205638474383,1.0,2023-01-19_S0
10,0,3.8555968327992733,13.392511324139033,5.895265093288906,0.0,0.0,18.16835865303553,12.000243871172978,24.81154162119084,46,467,1.5499999999999923,1.0946466809421842,1.0,2023-01-19_S1
33,0,3.3398982417398297,6.093255489299402,4.051315821566341,0.0,0.0,21.960629286093475,8.98959090840538,24.71513950394069,46,1427,1.45000000000003,1.1276103714085515,1.0,2023-01-19_S2
17,0,2.821660826739331,3.907115068061121,3.219236305545601,0.0,0.0,17.88013165062179,5.540375617184351,28.2190926249543,46,762,1.3500000000000156,1.0031496062992098,1.0,2023-01-20_S0
12,0,3.2748489481544687,4.387661902929782,3.352359289936496,0.0,0.0,19.81911207643493,4.3827235148778705,28.9075067824233,46,554,1.5499999999999863,1.104061371841164,1.0,2023-01-20_S1
20,0,3.252753446008848,4.684169389722903,3.427718996827738,0.0,0.0,19.405582651567997,5.508308339843702,21.20234011197432,46,899,1.4500000000000244,1.1785317018909944,1.0,2023-01-20_S2
15,0,3.035585838667708,7.112903217252919,4.642044591905137,0.0,0.0,23.34494415421107,10.196940677854839,25.9741570244158,46,689,1.3500000000000154,1.0523222060958028,1.0,2023-01-21_S0
8,0,3.5536366585344856,8.17571623379284,4.930436045011342,0.0,0.0,15.38938800826583,12.201515543464325,26.843022091599817,46,374,1.5500000000000016,1.0692513368984042,1.0,2023-01-21_S1
20,0,3.062344502298312,7.433701985777982,3.8833726820834586,0.0,0.0,21.668602764115214,8.25496887637696,24.3503416661596,46,909,1.4500000000000246,1.143234323432337,1.0,2023-01-21_S2
13,0,3.076388926025011,7.065513468776423,4.933021351912858,0.0,0.0,17.460362082960685,7.719506405127917,29.934584311928862,46,602,1.3500000000000143,1.09102990033224,1.0,2023-01-22_S0
16,0,3.157538053958576,9.056965937369288,4.274406139380708,0.0,0.0,19.188103043888482,7.4806572062615935,26.080667795933174,46,727,1.549999999999979,1.0872077028885883,1.0,2023-01-22_S1
8,0,2.7351138778765383,9.145890361903023,5.18448421269487,0.0,0.0,27.440073329462486,10.663460515773682,21.723582598273325,46,362,1.4499999999999933,1.0972375690607719,1.0,2023-01-22_S2
23,0,3.350688798753329,5.133559193492485,3.6783682790641907,0.0,0.0,22.563022129660933,4.435145130615852,22.649416943022455,46,1045,1.3499999999999868,1.037559808612446,1.0,2023-01-23_S0
