n_calls,missed_calls,p50_resp_min,p90_resp_min,avg_resp_min,p50_wait_min,p90_wait_min,avg_onscene_min,avg_transport_min,avg_turnaround_min,units,segment
14,0,0.9670443039488827,1.682319167942302,1.023804535676323,0.0,0.0,20.03545816754504,3.500173526418987,21.4500654976984,46,2023-01-16_S2
4,0,3.3095472182037744,8.630768707636486,4.488202985878524,0.0,0.0,19.37150295918552,15.068682155899193,29.544900348791618,46,2023-01-17_S0
12,0,1.4938373170015389,3.3635203827042077,2.01338659147179,0.0,0.0,18.308760957384276,4.8084538609038905,26.05394900314001,46,2023-01-17_S1
11,0,1.4020625046460473,2.6922384378164224,1.9789628861653445,0.0,0.0,17.230937604131828,4.870213547580918,28.174140744965253,46,2023-01-17_S2
16,0,1.3763005353417528,5.715909187006671,2.2765457855561566,0.0,0.0,19.33521143541237,7.850896720568576,25.18284633555945,46,2023-01-18_S0
10,0,0.8251553036613126,1.2730704037404172,0.8495539858135179,0.0,0.0,19.99672367529923,1.863094565841496,26.243705660925563,46,2023-01-18_S1
3,0,0.2924944291248789,0.8845524871209278,0.4697460622572028,0.0,0.0,20.88655232689758,1.3819792883979891,19.395227935255367,46,2023-01-18_S2
13,0,1.0155787618281118,2.576690773661828,1.9641066459730312,0.0,0.0,21.97869349370868,3.928836192991088,22.980740338739416,46,2023-01-19_S0
10,0,1.3988817022259163,7.335171290154016,2.74036724493514,0.0,0.0,22.533272587204173,7.073832380100688,23.579924088456334,46,2023-01-19_S1
33,0,1.0863997396720588,2.6778765610457334,1.6051041710371048,0.0,0.0,22.556810294339034,5.378045168891916,25.958631144627937,46,2023-01-19_S2
17,0,1.0255290130477406,1.8833292294192643,1.3608290802445804,0.0,0.0,17.141531754777674,4.006314243615251,24.122515839758584,46,2023-01-20_S0
12,0,1.0155787618281118,1.6877386465026858,0.9604483931263329,0.0,0.0,16.26788941255673,2.535323536713757,23.128647425564115,46,2023-01-20_S1
20,0,1.050292321395005,1.978502130104462,1.1761467043648683,0.0,0.0,20.387994588248933,3.218613749749396,25.181069746624903,46,2023-01-20_S2
15,0,1.114838468794141,4.155601863649734,2.2770901872420963,0.0,0.0,20.35103495072227,7.291163917238487,24.30136103639342,46,2023-01-21_S0
