policy,complexity,w_avg_p50_resp_min,w_avg_p90_resp_min,w_avg_avg_resp_min,missed_calls,calls,units,segments
NearestETA,1.0,3.5786926921581323,7.848932315519375,4.576933151550957,0,63185,49,2713
StationBiasETA_beta1,1.2,3.5753534764357755,7.858117232728374,4.575225523977037,0,63185,49,2713
StationBiasETA_beta3,1.2,3.582926376974713,7.852689072344596,4.5791843446129,0,63185,49,2713
CoverageAwareETA_g1,1.4,3.7993132302850277,7.957389741151533,4.743884277678627,0,63185,49,2713
CoverageAwareETA_g3,1.4,4.169801783883746,8.154097261379803,4.983220530745608,0,63185,49,2713
