policy,complexity,w_avg_p50_resp_min,w_avg_p90_resp_min,w_avg_avg_resp_min,missed_calls,calls,units,segments
NearestETA,1.0,3.5786926921581323,7.848932315519375,4.576933151550957,0,63185,49,2713
StationBiasETA_beta1,1.2,3.5753534764357755,7.858117232728374,4.575225523977037,0,63185,49,2713
