variant_id,complexity,n_runs,performance_score,rank,is_pareto,mean_resp_time_norm,p50_resp_time_norm,p90_resp_time_norm,coverage_loss_mean_norm,coverage_loss_p90_norm,fairness_gap_norm,als_mismatch_rate_norm,unit_area_mismatch_rate_norm,shifts_norm,total_calls_norm,w_avg_p50_resp_min_norm,w_avg_p90_resp_min_norm,w_avg_avg_resp_min_norm,units_norm
baseline_p1,1,1,,0,True,1.0,1.0,1.0,1.0,1.0,,,,0.5,0.5,0.0022753711578829,0.0,0.0,0.5
baseline_p2,2,1,,0,True,0.9429497626009,0.9812520172425848,0.9460567782711988,1.0,1.0,,,,0.5,0.5,0.0251639557965417,0.0633322413204651,0.055912481984251,0.5
baseline_p3,3,1,,0,True,0.0,0.0,0.0,0.2205465808927865,0.0,1.0,,0.0,0.5,0.5,1.0,1.0,1.0,0.5
baseline_p4,3,1,,0,True,0.9118003010003172,0.994525861299128,0.9140041300555756,1.0,1.0,0.0,,1.0,0.5,0.5,0.0111619127995513,0.1063700335468109,0.0863891914237657,0.5
baseline_p5,4,1,,0,True,0.9505179721524388,0.9857122539233584,0.9497408791679852,0.3158005772157984,0.6,0.5270227576302381,,0.6637457370554622,0.5,0.5,0.0246243631891607,0.0573252635635401,0.0486764208496216,0.5
ff_als,2,1,,0,True,0.9450173713609006,0.9793068985156026,0.9508194453680674,1.0,1.0,0.5345221542922879,,,0.5,0.5,0.0305508124476649,0.0561684406304896,0.0535264826214432,0.5
ff_als_coverage,3,1,,0,True,0.8091259959422281,0.9296842908544954,0.8625849937435212,1.0,1.0,0.4244391802409603,,,0.5,0.5,0.0997720794504324,0.2062346028339179,0.188446695232978,0.5
ff_als_coverage_2,3,1,,0,True,0.9183936047466552,0.9254502445661412,0.9323932714528358,1.0,1.0,0.4932664489181492,,,0.5,0.5,0.0934450120883925,0.0715219374494121,0.0807017784596925,0.5
ff_als_coverage_coverage,4,1,,0,True,0.8595379836277637,0.9023771565842008,0.8939181165413694,1.0,1.0,0.4171941997013977,,,0.5,0.5,0.1178723863291692,0.1413990160593457,0.1392545166131107,0.5
ff_als_coverage_coverage_fairness,5,1,,0,True,0.7956081976571976,0.84269848496273,0.8683979927120065,1.0,1.0,0.3303394807800131,,,0.5,0.5,0.1956116932698221,0.1998258784670503,0.2043047348122123,0.5
ff_als_coverage_coverage_fairness_2,5,1,,0,True,0.8128992001766604,0.8427470887777144,0.8889131232318292,1.0,1.0,0.4783525429002208,,,0.5,0.5,0.2030386381202064,0.1654514851937656,0.1868490236715449,0.5
ff_als_coverage_coverage_fairness_fairness,6,1,,0,True,0.7956081976571976,0.84269848496273,0.8683979927120065,1.0,1.0,0.3303394807800131,,,0.5,0.5,0.1956116932698221,0.1998258784670503,0.2043047348122123,0.5
ff_als_coverage_coverage_fairness_fairness_zone,7,1,,0,True,0.7956081976571976,0.84269848496273,0.8683979927120065,1.0,1.0,0.3303394807800131,,,0.5,0.5,0.1956116932698221,0.1998258784670503,0.2043047348122123,0.5
ff_als_coverage_coverage_fairness_zone,6,1,,0,True,0.7956081976571976,0.84269848496273,0.8683979927120065,1.0,1.0,0.3303394807800131,,,0.5,0.5,0.1956116932698221,0.1998258784670503,0.2043047348122123,0.5
ff_als_coverage_coverage_fairness_zone_2,6,1,,0,True,0.8128992001766604,0.8427470887777144,0.8889131232318292,1.0,1.0,0.4783525429002208,,,0.5,0.5,0.2030386381202064,0.1654514851937656,0.1868490236715449,0.5
ff_als_coverage_coverage_guardrail,5,1,,0,True,0.5502049024222927,0.5474066532172409,0.7850352069488752,1.0,1.0,0.5773002024784712,,,0.5,0.5,0.6005931481593639,0.3393903870370983,0.4460657979379323,0.5
ff_als_coverage_coverage_guardrail_fairness,6,1,,0,True,0.5832459331373465,0.5505280426248342,0.8196555761443037,1.0,1.0,0.466829958719706,,,0.5,0.5,0.5948883182494207,0.3022581861023621,0.4161893122003767,0.5
ff_als_coverage_coverage_guardrail_fairness_2,6,1,,0,True,0.5587123170673978,0.5478279790696059,0.8023702353005369,1.0,1.0,0.5654368938626151,,,0.5,0.5,0.5972643546441994,0.3313088090526518,0.439457685518978,0.5
ff_als_coverage_coverage_guardrail_fairness_fairness,7,1,,0,True,0.5832963217591804,0.5506984392164173,0.8196555761443037,1.0,1.0,0.4667632717122176,,,0.5,0.5,0.5948604375834853,0.3022581861023621,0.4161386748642724,0.5
ff_als_coverage_coverage_guardrail_fairness_fairness_zone,8,1,,0,True,0.5832963217591804,0.5506984392164173,0.8196555761443037,1.0,1.0,0.4667632717122176,,,0.5,0.5,0.5948604375834853,0.3022581861023621,0.4161386748642724,0.5
ff_als_coverage_coverage_guardrail_fairness_zone,7,1,,0,True,0.5832459331373465,0.5505280426248342,0.8196555761443037,1.0,1.0,0.466829958719706,,,0.5,0.5,0.5948883182494207,0.3022581861023621,0.4161893122003767,0.5
ff_als_coverage_coverage_guardrail_fairness_zone_2,7,1,,0,True,0.5587123170673978,0.5478279790696059,0.8023702353005369,1.0,1.0,0.5654368938626151,,,0.5,0.5,0.5972643546441994,0.3313088090526518,0.439457685518978,0.5
ff_als_coverage_coverage_guardrail_urban,6,1,,0,True,0.5587123170673978,0.5478279790696059,0.8023702353005369,1.0,1.0,0.5654368938626151,,,0.5,0.5,0.5972643546441994,0.3313088090526518,0.439457685518978,0.5
ff_als_coverage_coverage_guardrail_urban_fairness,7,1,,0,True,0.5832459331373465,0.5505280426248342,0.8196555761443037,1.0,1.0,0.466829958719706,,,0.5,0.5,0.5948883182494207,0.3022581861023621,0.4161893122003767,0.5
ff_als_coverage_coverage_guardrail_urban_fairness_2,7,1,,0,True,0.5587123170673978,0.5478279790696059,0.8023702353005369,1.0,1.0,0.5654368938626151,,,0.5,0.5,0.5972643546441994,0.3313088090526518,0.439457685518978,0.5
ff_als_coverage_coverage_guardrail_urban_fairness_fairness,8,1,,0,True,0.5832963217591804,0.5506984392164173,0.8196555761443037,1.0,1.0,0.4667632717122176,,,0.5,0.5,0.5948604375834853,0.3022581861023621,0.4161386748642724,0.5
ff_als_coverage_coverage_guardrail_urban_fairness_fairness_zone,9,1,,0,True,0.5832963217591804,0.5506984392164173,0.8196555761443037,1.0,1.0,0.4667632717122176,,,0.5,0.5,0.5948604375834853,0.3022581861023621,0.4161386748642724,0.5
ff_als_coverage_coverage_guardrail_urban_fairness_zone,8,1,,0,True,0.5832459331373465,0.5505280426248342,0.8196555761443037,1.0,1.0,0.466829958719706,,,0.5,0.5,0.5948883182494207,0.3022581861023621,0.4161893122003767,0.5
ff_als_coverage_coverage_guardrail_urban_fairness_zone_2,8,1,,0,True,0.5587123170673978,0.5478279790696059,0.8023702353005369,1.0,1.0,0.5654368938626151,,,0.5,0.5,0.5972643546441994,0.3313088090526518,0.439457685518978,0.5
ff_als_coverage_coverage_guardrail_urban_zone,7,1,,0,True,0.5587123170673978,0.5478279790696059,0.8023702353005369,1.0,1.0,0.5654368938626151,,,0.5,0.5,0.5972643546441994,0.3313088090526518,0.439457685518978,0.5
ff_als_coverage_coverage_guardrail_zone,6,1,,0,True,0.5502049024222927,0.5474066532172409,0.7850352069488752,1.0,1.0,0.5773002024784712,,,0.5,0.5,0.6005931481593639,0.3393903870370983,0.4460657979379323,0.5
ff_als_coverage_coverage_urban,5,1,,0,True,0.8128992001766604,0.8427470887777144,0.8889131232318292,1.0,1.0,0.4783525429002208,,,0.5,0.5,0.2030386381202064,0.1654514851937656,0.1868490236715449,0.5
