n_calls,missed_calls,p50_resp_min,p90_resp_min,avg_resp_min,p50_wait_min,p90_wait_min,avg_onscene_min,avg_transport_min,avg_turnaround_min,units,segment
14,0,2.8055098103309914,3.771130876722108,2.8821361231630367,0.0,0.0,18.00968186774354,5.601507439016466,25.063491659825782,46,2023-01-16_S2
4,0,5.967888744575095,13.15153775530926,7.559074030936008,0.0,0.0,14.316803954569899,20.5706196305352,31.1744070085998,46,2023-01-17_S0
12,0,3.516680377952077,6.040752516650681,4.218071898486917,0.0,0.0,18.123160392167573,8.40380073913044,22.856530282194413,46,2023-01-17_S1
11,0,3.3927843812721643,5.13452189105217,4.171599896323215,0.0,0.0,16.867820453829914,8.471336759601165,23.971394053540223,46,2023-01-17_S2
16,0,3.3580057227113667,9.216477402459008,4.573336810500812,0.0,0.0,22.533938688554215,10.733179085834223,28.300559199817844,46,2023-01-18_S0
10,0,2.613959659942772,3.2186450450495636,2.6468978808482495,0.0,0.0,26.64913205510633,3.133302617685269,20.277087064674927,46,2023-01-18_S1
3,0,1.8948674793185865,2.6941458576132526,2.1341571840472238,0.0,0.0,25.611235957996655,1.9961998115515014,16.801038191460226,46,2023-01-18_S2
13,0,2.871031328467951,4.978532544443468,4.151543972063592,0.0,0.0,20.42747306038331,5.332400668296695,31.042301500462397,46,2023-01-19_S0
10,0,3.388490298004987,11.402481241707921,5.19949578066244,0.0,0.0,20.73577974226588,11.736510516343447,23.34293628471536,46,2023-01-19_S1
33,0,2.9666396485572792,5.115133357411741,3.6668906309000917,0.0,0.0,21.45297012288552,8.807478264460464,25.161413513575003,46,2023-01-19_S2
17,0,2.8844641676144502,4.042494459716007,3.3371192583301834,0.0,0.0,20.490530992105132,5.5181160155439954,29.55738294261751,46,2023-01-20_S0
12,0,2.871031328467951,3.778447172778626,2.796605330720549,0.0,0.0,17.22400988733135,4.431170823652512,23.409541565954186,46,2023-01-20_S1
20,0,2.917894633883257,4.170977875641024,3.087798050892572,0.0,0.0,21.61782607915265,5.443012121100242,28.504349083906078,46,2023-01-20_S2
15,0,3.0050319328720905,7.110062515927141,4.574071752776831,0.0,0.0,20.487087160780796,10.292126307036002,23.9082293932406,46,2023-01-21_S0
8,0,3.4084751942479112,6.915084632871048,4.332025487744709,0.0,0.0,22.03968910647525,11.68980799801372,22.62008077004657,46,2023-01-21_S1
20,0,2.8258571300180337,6.2031383857141424,3.4917961556699018,0.0,0.0,17.690805044282204,8.118238778264676,26.696034195322255,46,2023-01-21_S2
13,0,3.0496038090465305,6.209734995596018,4.788531931875908,0.0,0.0,19.654032715658452,7.886155729135985,26.664422895322783,46,2023-01-22_S0
16,0,2.872463421825377,7.9830507233491925,3.8296061645933106,0.0,0.0,17.345922477189962,7.218563606900136,26.74887408458226,46,2023-01-22_S1
8,0,2.731468787566763,7.913608589385241,4.61768567529226,0.0,0.0,23.283753618638613,10.41975995984473,21.38438081733639,46,2023-01-22_S2
23,0,3.4430997916517425,5.220752120443325,3.7010091398952247,0.0,0.0,18.280361585217875,4.568882660642999,26.98464241733876,46,2023-01-23_S0
4,0,10.279443140027528,11.481198149630998,8.820311111971712,0.0,0.0,19.569670378424263,20.019669423512397,27.804920100542336,46,2023-01-23_S1
10,0,4.34253556041689,11.573230130373233,6.398044831593204,0.0,0.0,26.8239657290117,13.903529412481586,24.331771346660883,46,2023-01-23_S2
12,0,3.4357764948859577,4.519654718462806,4.900926228744732,0.0,0.0,19.972124304863527,7.130854295341398,26.407960854650977,46,2023-01-24_S0
19,0,3.040302942618676,6.014374047733438,4.093727443591291,0.0,0.0,21.93225745437843,9.96297396143421,25.677090094496556,46,2023-01-24_S1
32,0,3.0728158825413794,4.308340831208785,4.022923403590438,0.0,0.0,19.476711123106774,8.456251318977506,25.899518664761946,46,2023-01-24_S2
11,0,3.5652623940484856,4.727595939921004,3.814690031469344,0.0,0.0,19.248981752861326,6.686835436822486,27.56442374572298,46,2023-01-25_S0
14,0,2.9474462884359056,5.050959363346581,3.6028623991504576,0.0,0.0,20.3097299485192,10.037612182607054,22.874375513235623,46,2023-01-25_S1
25,0,3.142698361390058,7.91263288616353,4.086586942606716,0.0,0.0,18.272766876795103,12.952822580277433,27.610082956184165,46,2023-01-25_S2
9,0,2.9594359312380396,4.684173114090165,3.481802520687388,0.0,0.0,19.55999265294909,8.341386865511184,25.863774494992818,46,2023-01-26_S0
18,0,3.8046853043394435,11.305857926548848,5.147952730377346,0.0,0.0,19.464469968569958,11.892375652139776,22.453061711439222,46,2023-01-26_S1
26,0,4.517852434251786,14.627551070207206,6.8845042360613515,0.0,0.0,16.61477370861777,17.941919874074678,23.45006895125956,46,2023-01-26_S2
12,0,5.632205665580768,10.790019027857696,6.0683135819376846,0.0,0.0,20.138847968828355,13.167046367444721,25.268341746625392,46,2023-01-27_S0
14,0,3.5427287492838158,9.982834116895619,5.146523580020824,0.0,0.0,20.46371717160625,15.157365160006446,24.51857041986245,46,2023-01-27_S1
31,0,2.9844779976142783,8.068302521393939,4.260295017480098,0.0,0.0,19.324205654374822,10.012568335467554,23.181715058012024,46,2023-01-27_S2
15,0,2.908865706783026,3.9073291244405497,3.17909648621974,0.0,0.0,15.61107191235579,6.064848563197903,25.80630843593405,46,2023-01-28_S0
22,0,2.9152336298529953,5.506173532175892,3.266634734303926,0.0,0.0,17.901671751867244,6.859440773208624,27.683770187495234,46,2023-01-28_S1
