segment,hour,n,mean,p50,p90
2023-11-10_S0,0,1,19.941487628454567,19.941487628454567,19.941487628454567
2023-11-12_S0,0,8,28.342528097804568,25.820249017097016,41.781297036894046
2023-11-13_S0,0,4,30.750891618516164,26.117854399998237,49.96616349101549
2023-11-14_S0,0,1,17.272486014825677,17.272486014825677,17.272486014825677
2023-11-19_S0,0,4,18.99459285157721,17.42892396005302,26.507632557651494
2023-11-20_S0,0,2,26.555425090264706,26.555425090264706,26.68211835621706
2023-11-22_S0,0,3,35.41550284402127,39.76759809373873,44.45655514204957
2023-11-23_S0,0,3,32.692169012611394,27.42915957644767,48.98586098291609
2023-11-24_S0,0,1,11.313694116683138,11.313694116683138,11.313694116683138
2023-11-25_S0,0,3,20.287024462428715,16.972389974056515,27.037532735025327
2023-11-26_S0,0,2,14.709825906969467,14.709825906969467,16.28172556082257
2023-11-27_S0,0,5,21.54656169922302,19.06084201836815,30.686500484265487
2023-11-28_S0,0,3,21.365524017929697,20.55896140529207,24.550016299274102
2023-11-30_S0,0,2,24.990053937884507,24.990053937884507,33.88351178454178
2023-12-01_S0,0,1,14.428391803427154,14.428391803427154,14.428391803427154
2023-12-04_S0,0,8,19.778667657995626,17.54396903939427,28.965146313298707
2023-12-06_S0,0,1,24.459556274388063,24.459556274388063,24.459556274388063
2023-12-07_S0,0,3,26.047614058000885,25.66224086616766,29.24414260452393
2023-12-08_S0,0,1,22.36603550322097,22.36603550322097,22.36603550322097
2023-12-09_S0,0,4,26.34647162173876,28.450828344931224,30.980033683592307
2023-12-11_S0,0,3,20.489123096808147,18.243140938487784,28.890211203053184
2023-12-12_S0,0,3,30.991819389489137,24.50069295933873,45.65440404795892
2023-12-13_S0,0,2,20.148743479654435,20.148743479654435,24.577232276822805
2023-12-14_S0,0,1,25.990054428078945,25.990054428078945,25.990054428078945
2023-12-16_S0,0,5,20.42921873444204,22.66289160350432,25.73157785026811
2023-12-17_S0,0,2,23.264581571639592,23.264581571639592,25.08188208385388
2023-12-18_S0,0,3,17.279038110984814,17.904209328805283,18.55131587650795
2023-12-20_S0,0,5,24.373277809737484,18.928732270377008,35.10146182474533
2023-12-22_S0,0,3,21.043323070136434,22.07130757093939,22.949415021169763
2023-12-23_S0,0,5,25.082119805859588,24.01929437709005,33.73630841915273
2023-12-24_S0,0,2,29.342008520966036,29.342008520966036,37.02284233538524
2023-12-25_S0,0,3,23.747909968669717,21.00676542248207,29.173296655817712
2023-12-27_S0,0,3,26.677953990945934,28.466086480489274,28.562652259647294
2023-12-28_S0,0,4,24.52905536903051,22.49896361153113,35.37384875902159
2023-12-29_S0,0,2,19.599571701388925,19.599571701388925,21.10854609819133
2023-12-30_S0,0,4,31.758872247094807,35.81622767217672,42.16305426541383
2023-12-31_S0,0,3,19.73414088022245,20.381708020935047,24.388041768141278
2024-01-02_S0,0,3,24.15890901191341,18.82232583805783,31.96160780976498
2024-01-03_S0,0,4,19.660089066920825,18.56678938089156,26.278484990313554
2024-01-04_S0,0,3,18.651792692283166,17.639494807745876,20.39044772135206
2024-01-05_S0,0,1,43.625530353261695,43.625530353261695,43.625530353261695
2024-01-06_S0,0,5,28.42001024379515,26.781885636021563,36.677281125759755
2024-01-08_S0,0,3,32.0134734815573,37.419440508671414,37.92888666384799
2024-01-09_S0,0,2,24.72882354878508,24.72882354878508,24.736942286358772
2024-01-10_S0,0,3,27.341695191938456,21.67577794581139,35.881167810290655
2024-01-12_S0,0,1,29.65856632884012,29.65856632884012,29.65856632884012
2024-01-13_S0,0,4,33.11486870937673,31.95883662775327,40.457862109677954
2024-01-14_S0,0,3,27.79852037027724,31.357229490024157,33.983383162613215
2024-01-15_S0,0,3,28.258040917745806,26.268728393911076,32.06337215209308
2024-01-16_S0,0,1,16.287983431555176,16.287983431555176,16.287983431555176
2024-01-18_S0,0,2,12.609028075097797,12.609028075097797,13.285015502845969
2024-01-20_S0,0,4,26.963755637589607,26.672774202531375,32.091385575772094
2024-01-21_S0,0,3,15.566362727338598,16.450141915449592,19.20555442817514
2024-01-23_S0,0,4,23.76596591074018,23.024210646049053,32.608932086275935
2024-01-24_S0,0,6,19.95958979630331,17.79295127401835,28.821302117923004
2024-01-25_S0,0,4,14.454286575390643,13.868798837440774,15.916676657479051
2024-01-27_S0,0,6,23.079616902445864,16.86109091759234,40.223259123941645
2024-01-28_S0,0,2,13.758908794092221,13.758908794092221,15.803439241801499
2024-01-29_S0,0,2,16.38932526787422,16.38932526787422,19.998746281545962
2024-01-30_S0,0,1,22.37307359987785,22.37307359987785,22.37307359987785
2024-01-31_S0,0,4,17.17163463006236,14.552106111405097,23.676707110545667
2024-02-02_S0,0,4,14.064564939531898,12.549938886858303,17.96327405369083
2024-02-04_S0,0,4,21.415821289215067,17.14117935020221,31.08368740786405
2024-02-05_S0,0,5,16.185777658771574,17.24811823317326,20.494428486190657
2024-02-07_S0,0,1,19.544972424330464,19.544972424330464,19.544972424330464
2024-02-09_S0,0,1,20.529274500517147,20.529274500517147,20.529274500517147
2024-02-10_S0,0,3,28.126074315988546,25.143093807234692,41.890948251773935
2024-02-11_S0,0,2,23.3742043926638,23.3742043926638,33.176064581030964
2024-02-12_S0,0,5,39.311010743435496,36.125987285794764,64.40683969784888
2024-02-13_S0,0,2,30.161828787231464,30.161828787231464,31.50332628231685
2024-02-15_S0,0,6,31.934415231926106,29.984731135087966,46.32861736527657
2024-02-16_S0,0,2,30.572903933980978,30.572903933980978,41.28310388905307
2024-02-18_S0,0,5,20.653254672824062,18.43882355969946,25.757354779458613
2024-02-19_S0,0,2,21.094431309579914,21.094431309579914,27.884056002426004
2024-02-21_S0,0,5,26.963646468929255,26.84166206299559,35.02232397259414
2024-02-22_S0,0,7,27.623509905807534,23.771887906186187,39.6203598244625
2024-02-23_S0,0,3,18.135562738505627,17.451936198890706,22.576161609609773
2024-02-24_S0,0,1,24.00072443865897,24.00072443865897,24.00072443865897
2024-02-25_S0,0,3,27.922932382255734,27.415147671141725,32.897659680594245
2024-02-27_S0,0,2,18.47381499922392,18.47381499922392,20.634537653585188
2024-02-28_S0,0,5,23.991405172292062,19.43991877173034,33.12294433702562
2024-02-29_S0,0,1,15.079440748172724,15.079440748172724,15.079440748172724
2024-03-01_S0,0,3,28.033840211430157,22.738214925252286,40.29407097477574
2024-03-02_S0,0,5,27.680262258093904,29.11959144197944,34.70212802418909
2024-03-03_S0,0,2,35.78328959328742,35.78328959328742,45.115830644041964
2024-03-04_S0,0,1,21.556748113529054,21.556748113529054,21.556748113529054
2024-03-05_S0,0,4,23.14317821592345,22.23307864651761,30.750687832930268
2024-03-06_S0,0,4,21.34004810154981,19.163960272577036,32.85738081234406
2024-03-07_S0,0,5,21.011385385301722,25.978061258946703,26.732591170332576
2024-03-08_S0,0,2,17.30528594247586,17.30528594247586,21.970618511893793
2024-03-09_S0,0,2,19.64267381454046,19.64267381454046,20.028912915167098
2024-03-11_S0,0,1,48.274953794825656,48.274953794825656,48.274953794825656
2024-03-12_S0,0,3,32.12822995871185,31.708437106448645,40.67318781115842
2024-03-13_S0,0,9,23.605430095834677,19.042952983083943,36.76007715823169
2024-03-14_S0,0,3,33.63725008956037,16.75862698643036,60.043783191372654
2024-03-15_S0,0,2,61.12982514363885,61.12982514363885,77.39078203862866
2024-03-16_S0,0,9,25.662734042759343,28.683691248847104,34.30151472588986
2024-03-17_S0,0,3,31.32374041127875,32.78015937636869,40.65872820198867
2024-03-18_S0,0,4,24.299793132126545,24.91308861140189,26.89813593286209
2024-03-19_S0,0,7,27.93995202375183,26.9083616000541,41.729419513203666
2024-03-22_S0,0,4,17.801733160549112,15.693353940975811,23.05752452826389
2024-03-23_S0,0,4,23.116097919908267,23.48717145561101,30.627559424631073
2024-03-24_S0,0,1,43.67821017745427,43.67821017745427,43.67821017745427
2024-03-26_S0,0,5,21.08279428873336,16.09499526556826,30.279572471621833
2024-03-27_S0,0,3,26.04911374964695,17.8747031901865,39.66616782219177
2024-03-28_S0,0,1,23.855806885658588,23.855806885658588,23.855806885658588
2024-03-30_S0,0,2,27.36730537674184,27.36730537674184,29.2244642871382
2024-03-31_S0,0,5,22.54603800182067,20.949370095345845,29.03058555821708
2024-04-01_S0,0,3,22.295854477872215,22.314286882412294,27.265235861000804
2024-04-02_S0,0,2,15.481338261505762,15.481338261505762,18.64902086791294
2024-04-03_S0,0,2,34.46704375789987,34.46704375789987,42.34993356215247
2024-04-04_S0,0,3,17.66314846044564,17.661565368078215,22.7882773576212
2024-04-06_S0,0,2,21.54739827859702,21.54739827859702,22.470060340095824
2024-04-07_S0,0,4,20.92068869139955,18.33260767739486,27.87604063966757
2024-04-08_S0,0,3,17.46146862560587,17.38015699203094,20.960319111236604
2024-04-09_S0,0,5,20.170866796879057,19.876346183252096,22.46360368553626
2024-04-10_S0,0,9,25.09593298720993,20.813714471327742,38.672188759484555
2024-04-11_S0,0,1,21.71445932131305,21.71445932131305,21.71445932131305
2024-04-13_S0,0,2,36.33803289980628,36.33803289980628,45.25858115982823
2024-04-14_S0,0,6,25.671709758621574,27.59923163706171,33.32668882845904
2024-04-15_S0,0,1,34.16236094552683,34.16236094552683,34.16236094552683
2024-04-16_S0,0,3,23.030917097135404,20.911891488792826,26.37676512590711
2024-04-17_S0,0,5,23.409957907558304,18.713033251999462,34.08380870833229
2024-04-18_S0,0,2,25.386556816485765,25.386556816485765,26.13408609242748
2024-04-19_S0,0,4,17.816332874728904,18.561060040404577,21.827731055419896
2024-04-20_S0,0,6,23.373423087435715,24.721334111682516,29.20755004943684
2024-04-21_S0,0,4,30.76204723090863,30.85091520658527,42.131114182110835
2024-04-22_S0,0,7,21.09414780368433,21.414482455089498,25.26982257378642
2024-04-23_S0,0,9,18.35223455381441,15.703781402342234,28.201332522081874
2024-04-24_S0,0,4,28.077101132822985,27.69151727975703,37.27869984595254
2024-04-25_S0,0,7,21.484802896898852,19.007394877768252,33.79099795490201
2024-04-26_S0,0,2,29.973541739086322,29.973541739086322,33.860645451201556
2024-04-27_S0,0,2,20.111850431991748,20.111850431991748,20.171007557788926
2024-04-29_S0,0,1,52.15765787324132,52.15765787324132,52.15765787324132
2024-04-30_S0,0,4,23.730708329751366,22.58579926083106,32.68925608335917
2024-05-02_S0,0,4,22.73013150552885,21.093432044408736,29.27185657233276
2024-05-03_S0,0,1,20.33409849719839,20.33409849719839,20.33409849719839
2024-05-04_S0,0,1,44.904093815922714,44.904093815922714,44.904093815922714
2024-05-07_S0,0,5,37.110725242768424,35.316682264939026,52.979890624022694
2024-05-08_S0,0,3,31.304006306605004,35.028453328456166,35.997664980860215
2024-05-09_S0,0,6,23.658449807465857,21.618229571997375,34.188977122533785
2024-05-10_S0,0,6,30.248521702066146,23.33266334477141,52.51852923252612
2024-05-11_S0,0,3,22.462609967264758,17.599593109413963,31.08706191715004
2024-05-13_S0,0,8,24.012760220863175,23.2256117976752,32.35105095067333
2024-05-14_S0,0,5,19.888972976647814,22.298909939070633,24.824447580096184
2024-05-16_S0,0,2,21.19905500923044,21.19905500923044,29.565134795906147
2024-05-17_S0,0,3,28.4652574938395,24.447968244217705,38.39990568672443
2024-05-19_S0,0,3,17.919598870865,17.341725677598884,19.744876900417534
2024-05-20_S0,0,4,26.343291266172493,22.688474408020006,42.4532217952558
2024-05-21_S0,0,6,23.14951526563061,21.60077131117641,28.560114714296073
2024-05-22_S0,0,4,32.77551482960393,33.708629637346604,49.04835053129383
2024-05-23_S0,0,1,35.90005420486149,35.90005420486149,35.90005420486149
2024-05-25_S0,0,5,35.60512263306949,29.275901448550528,55.15169319342615
2024-05-26_S0,0,7,22.988631004444063,20.57478538235967,29.222408337324097
2024-05-29_S0,0,3,30.48232930742688,34.518694250108716,34.90243121811472
2024-05-30_S0,0,3,23.847560411591882,21.322965051857423,27.382593263485667
2024-05-31_S0,0,5,24.553320550244532,22.401028819811415,35.660583626742856
2024-06-01_S0,0,4,31.520006662840395,27.484568789188934,42.18937652896758
2024-06-02_S0,0,2,21.92725374969217,21.92725374969217,26.585015862651417
2024-06-04_S0,0,3,24.954536017532064,27.21354719360681,29.48803195261311
2024-06-06_S0,0,2,22.198065738876195,22.198065738876195,27.754435941234096
2024-06-07_S0,0,5,20.03906053125212,19.786743846353467,27.133823842440073
2024-06-09_S0,0,5,22.94334830988688,20.106854930831595,34.24771393787908
2024-06-12_S0,0,4,23.396846112152026,18.366716236015527,33.5642928279936
2024-06-13_S0,0,1,40.16195038475971,40.16195038475971,40.16195038475971
2024-06-16_S0,0,7,26.090054934191127,23.50034827941282,39.382195053165454
2024-06-17_S0,0,4,23.113127905469263,21.22016048916602,27.72850546705968
2024-06-18_S0,0,1,20.282280660566464,20.282280660566464,20.282280660566464
2024-06-19_S0,0,2,21.740798661554503,21.740798661554503,26.119853116708406
2024-06-20_S0,0,4,19.524930643518275,20.74512861020383,24.834210392446973
2024-06-21_S0,0,5,21.963772595019016,22.05368291164952,30.212500836555975
2024-06-23_S0,0,3,26.225728921408276,31.577503249442973,31.949672011637194
2024-06-24_S0,0,6,18.870201524308147,16.67560623963267,25.819852974662798
2024-06-25_S0,0,2,19.085020634396447,19.085020634396447,23.969421744514218
2024-06-26_S0,0,2,38.05510122550263,38.05510122550263,39.292032332945716
2024-06-27_S0,0,4,18.029370967170493,15.975651428252998,22.35178186911514
2024-06-28_S0,0,6,27.90891626468584,23.632880259137075,39.496697024485485
2024-06-29_S0,0,4,23.629281311322664,22.08731322873153,31.758860781731965
2024-06-30_S0,0,4,26.279497395476167,21.227111448942495,41.468260878618835
2024-07-01_S0,0,5,28.359922802598657,26.300925439594813,40.8695996929863
2024-07-02_S0,0,4,19.33591626014249,18.52101451123417,25.658575322149478
2024-07-03_S0,0,1,36.15589910325288,36.15589910325288,36.15589910325288
2024-07-04_S0,0,1,51.936964612172964,51.936964612172964,51.936964612172964
2024-07-05_S0,0,5,25.806052007330187,18.927676246278878,43.886134846547364
2024-07-06_S0,0,5,39.94430358472946,32.31970824357869,65.85117116845079
2024-07-07_S0,0,5,21.311086947911342,18.669437778390424,30.457661861258256
2024-07-08_S0,0,1,12.473996523329525,12.473996523329525,12.473996523329525
2024-07-09_S0,0,4,30.602941083606467,24.11242283118169,47.08276044072481
2024-07-10_S0,0,3,35.0391134646727,16.228841698860315,63.71963891236872
2024-07-11_S0,0,6,18.481195513553175,18.75814552145553,23.412857288545332
2024-07-12_S0,0,5,23.75547418249295,22.541773664009938,33.298266111019785
2024-07-14_S0,0,3,21.89702519144087,22.238344324465423,25.137587928814767
2024-07-15_S0,0,1,19.31036679322399,19.31036679322399,19.31036679322399
2024-07-16_S0,0,5,22.73458602082333,21.7530017115539,29.26753031665585
2024-07-17_S0,0,10,27.080426414709166,24.83223962564294,40.54945765477059
2024-07-18_S0,0,8,26.356253905486845,25.935367036771535,35.0975713559993
2024-07-19_S0,0,1,30.308473103551293,30.308473103551293,30.308473103551293
2024-07-20_S0,0,5,33.15817733007209,30.22615328521531,46.32289049643166
2024-07-21_S0,0,1,16.285085059380016,16.285085059380016,16.285085059380016
2024-07-22_S0,0,8,28.208695649693645,24.829605228794765,43.982122371174526
2024-07-23_S0,0,7,21.481959105025158,18.3982213208827,33.51885927191496
2024-07-24_S0,0,2,41.598673314089034,41.598673314089034,44.77526481638443
2024-07-25_S0,0,4,23.756561958254828,23.303541134136417,32.698972255966055
2024-07-26_S0,0,1,25.286230981057155,25.286230981057155,25.286230981057155
2024-07-28_S0,0,5,18.16234988223393,17.453194519996963,24.66607821536718
2024-07-29_S0,0,1,27.793760858615055,27.793760858615055,27.793760858615055
2024-07-30_S0,0,4,28.635236171451602,30.24594849530592,40.082026326983026
2024-08-01_S0,0,5,26.889833971519362,25.174417118649792,40.01955158167464
2024-08-02_S0,0,2,25.9089309873497,25.9089309873497,30.24993390486975
2024-08-03_S0,0,4,27.006657786521746,25.39731688466632,35.66787616127508
2024-08-04_S0,0,2,25.224112784874045,25.224112784874045,32.71321947725142
2024-08-05_S0,0,2,22.89286311433522,22.89286311433522,28.937453057556652
2024-08-06_S0,0,4,21.29321774767682,20.681631120009126,28.335995326134533
2024-08-07_S0,0,4,25.937103359757955,26.072918983184806,30.49095564668162
2024-08-08_S0,0,2,23.766265231179457,23.766265231179457,32.969047783272345
