n_calls,missed_calls,p50_resp_min,p90_resp_min,avg_resp_min,p50_wait_min,p90_wait_min,avg_onscene_min,avg_transport_min,avg_turnaround_min,units,legs,avg_road_factor,avg_hour_mult,avg_zone_mult,segment
14,0,2.9774834276251503,4.0238358797186295,3.0210167668369534,0.0,0.0,22.40179867617485,5.860123959712309,26.89491017679769,46,672,1.4500000000000175,1.0714285714285747,1.0,2023-01-16_S2
4,0,5.821791909112321,12.355257092313789,7.227286295975853,0.0,0.0,30.291471182150218,20.685857693771915,20.955076443804252,46,192,1.3499999999999963,1.0,1.0,2023-01-17_S0
12,0,3.8961388631614486,6.589467734060582,4.820250904434695,0.0,0.0,21.181111637809032,8.426849892901094,24.696684008462043,46,576,1.5499999999999852,1.1083333333333298,1.0,2023-01-17_S1
11,0,3.8898949119157438,5.994768100846206,4.776934516976536,0.0,0.0,21.141997476142418,8.320681202146927,22.52778080754952,46,528,1.4500000000000097,1.1999999999999897,1.0,2023-01-17_S2
16,0,3.4093712760177164,9.123196308861232,4.533760107504227,0.0,0.0,18.51130792379763,10.87344758687798,26.433344060147885,46,768,1.3500000000000147,1.0437500000000028,1.0,2023-01-18_S0
10,0,2.8713088359411287,3.6476594517061174,2.8669098195820233,0.0,0.0,17.223917029360653,3.2174965219227367,24.187233850156204,46,480,1.5499999999999912,1.1100000000000068,1.0,2023-01-18_S1
3,0,1.9034110698540179,2.7524700476388757,2.1629583418280443,0.0,0.0,22.377312022603558,2.022882473144642,16.896920313128145,46,144,1.4499999999999966,1.0,1.0,2023-01-18_S2
13,0,2.8703293738264417,4.745963215560548,4.0367685737486205,0.0,0.0,18.80943091152542,5.3088811686698,23.979117880701782,46,624,1.3500000000000145,1.0384615384615472,1.0,2023-01-19_S0
10,0,3.840712811573094,12.216140709260173,5.786473375043613,0.0,0.0,18.481987443435102,11.87739288231182,23.60592826141353,46,480,1.5499999999999912,1.0950000000000002,1.0,2023-01-19_S1
33,0,3.261545592378905,5.752212453648419,3.989148763009761,0.0,0.0,18.860808951680365,8.9927483004957,25.268252326880894,46,1584,1.450000000000009,1.128787878787878,1.0,2023-01-19_S2
17,0,2.8588642563972613,3.9406013690048454,3.2552459217538705,0.0,0.0,19.12285165476107,5.446677855106812,23.49628381637281,46,816,1.3500000000000085,1.0029411764705856,1.0,2023-01-20_S0
12,0,3.13346579769742,4.134759468431578,3.05845415993676,0.0,0.0,19.76189326584076,4.335812722080564,29.837084000412236,46,576,1.5499999999999852,1.1041666666666754,1.0,2023-01-20_S1
20,0,3.140518580094506,4.607308770113545,3.32052255785865,0.0,0.0,19.87248030344501,5.588666127286929,30.301400191675754,46,960,1.4500000000000257,1.1800000000000044,1.0,2023-01-20_S2
15,0,2.945286254739589,7.342012450068432,4.686513326084405,0.0,0.0,18.57650434961977,10.413177208848989,20.101085767999134,46,720,1.3500000000000156,1.0533333333333454,1.0,2023-01-21_S0
8,0,3.7813025571961028,8.176506910718311,5.010663441402448,0.0,0.0,20.459145822248036,10.825785634401083,21.103381354991583,46,384,1.5500000000000005,1.0687500000000087,1.0,2023-01-21_S1
20,0,2.994242950341518,7.110531071239046,3.8419465504658583,0.0,0.0,18.865698943046354,8.169214183654203,25.112966271173917,46,960,1.4500000000000257,1.1449999999999956,1.0,2023-01-21_S2
13,0,3.0174130458691186,6.967847459802303,4.937343865929204,0.0,0.0,22.912857872479208,7.83942652410231,24.81607524028391,46,624,1.3500000000000145,1.092307692307708,1.0,2023-01-22_S0
16,0,3.116552375492252,8.524722367966083,4.154016146123022,0.0,0.0,18.76686135120542,7.295606396725988,20.156631080466433,46,768,1.5499999999999776,1.087500000000005,1.0,2023-01-22_S1
8,0,2.785520006113471,9.067121635114468,5.164522851926355,0.0,0.0,20.746476700484827,10.22913525108363,26.068901502428453,46,384,1.4499999999999964,1.099999999999998,1.0,2023-01-22_S2
23,0,3.2509498768953815,5.183208961922389,3.5619797379336786,0.0,0.0,20.723497920408356,4.507490400355577,23.50111416819945,46,1104,1.3499999999999825,1.0369565217391357,1.0,2023-01-23_S0
4,0,12.43313425252639,15.04957372318254,10.82701822154204,0.0,0.0,16.274980619325692,21.035350119227253,25.71225276915573,46,192,1.5500000000000054,1.150000000000005,1.0,2023-01-23_S1
10,0,4.332629250612538,11.416877668015818,6.459543556981657,0.0,0.0,18.767378837349316,14.079636767405901,28.145945575791494,46,480,1.4500000000000062,1.0150000000000001,1.0,2023-01-23_S2
12,0,3.146535240226352,4.472937659515259,4.863671805106441,0.0,0.0,20.182726114161188,6.687579489410678,30.69398020545695,46,576,1.3500000000000139,1.0166666666666704,1.0,2023-01-24_S0
19,0,3.2130663843788287,6.7004501831943015,4.62283711210142,0.0,0.0,18.74067155901646,10.103304468818976,26.85133046294602,46,912,1.549999999999974,1.0894736842105224,1.0,2023-01-24_S1
32,0,3.2728175548443414,4.973797707664144,4.501338917061519,0.0,0.0,18.62090502517314,8.637970451772196,26.297237098968772,46,1536,1.450000000000015,1.1078124999999959,1.0,2023-01-24_S2
11,0,3.6389648123800518,5.340948833909467,3.8162406795535646,0.0,0.0,17.885727846253555,6.522027059745657,29.616610974091074,46,528,1.350000000000013,1.0318181818181869,1.0,2023-01-25_S0
