policy,scenario,n_rows,n_failures,high_threshold_min,high_n,high_mean,high_p50,high_p90,high_p99,high_pct_over_threshold,pct_no_als_global,pct_no_bls_global,pct_no_als_in_als_zone,pct_no_bls_in_bls_zone,pct_no_idle_units_in_critical_muni_overall,pct_no_idle_units_in_critical_muni_EAST LAMPETER TOWNSHIP,pct_no_idle_units_in_critical_muni_LANCASTER,pct_no_idle_units_in_critical_muni_LANCASTER TOWNSHIP,pct_no_idle_units_in_critical_muni_MANHEIM TOWNSHIP,pct_no_idle_units_in_critical_muni_WEST LAMPETER TOWNSHIP,low_n,danger_last_als_low_n,danger_last_als_low_rate,als_share_on_low_calls,pct_low_calls_stripping_muni,low_calls_stripping_muni_n,low_calls_stripping_muni_base_n
nearest_eta,S0_baseline,115877.0,40353.0,20.0,38534.0,6.0121606154392735,4.233285320511381,11.784102597359404,30.156883675477935,0.032724347329630976,0.3696678374483288,0.39333085944579166,0.10503625318440134,0.08144961649283713,1.0,1.0,1.0,1.0,1.0,1.0,62774.0,1889.0,0.030092076337337115,0.49948634766153016,0.06390916463909165,2364.0,36990.0
nearest_eta,S1_demand_1.5x,184204.0,71537.0,20.0,57543.0,6.331865528777082,4.626972332415859,12.267120144607,31.38547856263338,0.03659871748084041,0.41107142081605175,0.4352077045015309,0.21282833020637898,0.20434365250779937,1.0,1.0,1.0,1.0,1.0,1.0,98765.0,3099.0,0.03137751227661621,0.49132864088237427,0.0687359407880415,3789.0,55124.0
nearest_eta,S2_demand_2x,278821.0,129783.0,20.0,75917.0,7.0185546210841165,5.50043100783579,13.738623794176046,32.93450657801208,0.047301658390083906,0.4935819038020809,0.5211694958414179,0.3763163550397593,0.3735817154383519,1.0,1.0,1.0,1.0,1.0,1.0,148541.0,5281.0,0.03555247372779233,0.4988443812311101,0.07705036856716949,5634.0,73121.0
nearest_eta,S3_supply_0.7x,213932.0,144351.0,20.0,35635.0,9.25481038784398,7.606969118537218,19.615630118291193,36.98763705722868,0.09602918479023433,0.7032888955368995,0.7348643494194417,0.5224036123654047,0.5240776556417852,1.0,1.0,1.0,1.0,1.0,1.0,121657.0,4613.0,0.03791808116261292,0.5380015318446946,0.11459376657043539,3890.0,33946.0
nearest_eta,S4_supply_0.5x,330726.0,269016.0,20.0,31478.0,10.404431944895666,9.488686967577953,19.70889930718643,30.23159138319086,0.0943198424296334,0.8447083083882126,0.8591795020651536,0.7837002957607624,0.7739642035355554,1.0,1.0,1.0,1.0,1.0,1.0,183984.0,6696.0,0.036394469084268195,0.6362132839375496,0.14190261974067214,4290.0,30232.0
nearest_eta_infleet,S0_baseline,77363.0,0.0,20.0,39350.0,2.755343500128388,1.955637422776665,5.392385216217201,13.66309485514607,0.00040660736975857686,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,38013.0,0.0,0.0,0.31149869781390577,0.0,0.0,38013.0
nearest_eta_infleet,S1_demand_1.5x,115919.0,0.0,20.0,59106.0,2.7410659802197093,1.9539060259709897,5.3458100223621345,13.612554239380925,0.0004229689033262275,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,56813.0,0.0,0.0,0.3152799535317621,0.0,0.0,56813.0
nearest_eta_infleet,S2_demand_2x,154739.0,0.0,20.0,78805.0,2.7362436246026474,1.9519044042634317,5.311923088363116,13.610879646074183,0.0005456506566842205,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,75934.0,0.0,0.0,0.31732820607369555,0.0,0.0,75934.0
nearest_eta_infleet,S3_supply_0.7x,77363.0,0.0,20.0,39350.0,2.755343500128388,1.955637422776665,5.392385216217201,13.66309485514607,0.00040660736975857686,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,38013.0,0.0,0.0,0.31149869781390577,0.0,0.0,38013.0
nearest_eta_infleet,S4_supply_0.5x,77363.0,0.0,20.0,39350.0,2.755343500128388,1.955637422776665,5.392385216217201,13.66309485514607,0.00040660736975857686,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,38013.0,0.0,0.0,0.31149869781390577,0.0,0.0,38013.0
nearest_eta_r1,S0_baseline,115344.0,39769.0,20.0,38531.0,5.941914513674005,4.180012020534566,11.599351089705229,30.732936229793783,0.03262308271262101,0.3660961991954501,0.4053613538632265,0.11372016301183777,0.09158134243458475,1.0,1.0,1.0,1.0,1.0,1.0,62616.0,1956.0,0.031238022230739747,0.25421120829284094,0.06689342403628118,2478.0,37044.0
